sample_id,number,type,utm_x,utm_y,coord_key,n_votes,has_coords,elevation_m,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Co,Cr,Cu,Fe,He,K,Li,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Se,Sn,Sr,Th,Ti,Tl,U,V,Zn
1B,1,B,690365,4167525,690365_4167525,7,TRUE,65,2.01296397168549,39603.8374202957,103.932802902106,0,293.017910634235,NA,0.198040379123785,NA,4.11943284542215,24.218457340335096,56.57467730479749,48.1280785977365,67690.38882682571,42.82318153866049,NA,42.82318153866049,NA,3441.5453157004804,1.25387854765132,NA,35.27892490396581,NA,6362.5595559639105,NA,53.96748180146269,5.290670294856191,7.75279474932966,249.78367569071693,NA,3209.41616131599,NA,1.4763965471444596,74.14502834875509,2048.7867450355698
3B,3,B,690535,4167554,690535_4167554,7,TRUE,64.74214935302734,0.15675383718757205,40667.586161728505,45.35299544897171,0,269.85972140272,NA,0,NA,3.34656344628255,17.405521407638997,58.5586926121736,28.81118768848841,46999.9853958354,36.82680471371299,NA,36.82680471371299,NA,2088.09801165773,0.797035907584134,NA,31.911126580063893,NA,1594.4101600922102,NA,14.500618616174,5.09817807237927,3.6513061290984696,276.87399388475404,NA,2968.72149097271,NA,1.3212679238565903,76.11427992830292,1537.9084117239202
5B,5,B,690577,4167368,690577_4167368,7,TRUE,70.78398895263672,0.627561270888492,37886.947486354,50.93734732308659,0,290.58946661815804,NA,0.0068087489632855,NA,3.6024723971533796,17.550297113218605,54.840776191541494,30.902454505304895,51674.205316494306,33.83443147146509,NA,33.83443147146509,NA,2399.29741729564,0.854554604121048,NA,29.9566759830265,NA,2018.38442316864,NA,18.1609915202215,4.830043785695172,4.44604866268145,249.781066154359,NA,2733.65146528402,NA,1.20805910829542,72.36884913993488,1621.1703685728296
1C,1,C,690995,4168995,690995_4168995,2,TRUE,29.11493682861328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1E,1,E,691628,4167069,691628_4167069,7,TRUE,99.04912567138672,0.6754405087042809,36771.6378454092,51.906259882168,0,588.3417964572529,NA,0,NA,6.81,18.1276952332647,46.57556563295201,25.8944937835521,35032.0636586229,31.3754516054374,NA,31.3754516054374,NA,6281.97120896091,1.2462336928344295,NA,32.8792035464477,NA,838.151491397864,NA,18.503979124790703,3.61525085108575,4.07052096729464,293.39680691325896,NA,2431.80736405597,NA,1.60797082031609,62.598499209664,682.1692082523671
3E,3,E,691510,4166980,691510_4166980,7,TRUE,95.298858642578125,0.6502718527739121,43342.32146371819,44.86975352364599,0,302.877074146301,NA,0,NA,1.6737283406623298,18.408549187020498,56.91202866373379,33.4997497611478,35557.5451917169,32.943636237856495,NA,32.943636237856495,NA,1807.0802514067504,0.773778157417951,NA,32.040487981112385,NA,1709.74987085175,NA,12.966346867442402,4.34999692432968,3.4589081362771994,240.174841028926,NA,3456.73726202758,NA,1.20151550053351,77.30530860055808,920.739119968764
4E,4,E,691493,4166953,691493_4166953,7,TRUE,94.3362808227539,0.649713871754105,13311.2296535506,43.6082997287121,0,117.832506504687,NA,0,NA,1.38613642726068,7.662993555640069,17.205139092865693,13.953230974906203,19395.868126887697,9.991804817313673,NA,9.991804817313673,NA,1351.6396975175498,1.66975447444725,NA,7.53468528040268,NA,927.021758048795,NA,8.669220859592212,1.27043986490787,2.66334501708424,174.46431959438,NA,842.037612537399,NA,1.6213356130646897,26.598153568412,502.549745401545
5E,5,E,691518,4166957,691518_4166957,7,TRUE,93.51526641845703,2.06222651027817,38576.8117510712,78.92178270703779,0,333.078354113562,NA,0.0948151598777768,NA,3.93558339017119,25.1590673739827,52.2860144968644,44.163283265223995,39458.2479482839,33.988994002924,NA,33.988994002924,NA,2199.353190034241,1.0187490025444297,NA,29.7759683415308,NA,3057.1320600966897,NA,23.990430790132496,4.6113633408989605,6.28494068978203,297.8406899813311,NA,3029.2828840409293,NA,1.21863309693003,68.55606447129522,1777.84053439759
9E,9,E,691514,4166795,691514_4166795,7,TRUE,91,1.71848558928212,35071.6895929075,135.56324098134698,0,239.518049939901,NA,0,NA,4.645132351800109,13.6188024192891,42.0717882547751,40.84311159047659,49607.4781975199,30.6953996224149,NA,30.6953996224149,NA,1603.4219514873605,0.788548618081398,NA,19.152878641219104,NA,2900.92223052414,NA,23.042829922782797,3.2346935436989903,10.0598077841914,186.575411873594,NA,2290.11168415832,NA,1.30138577594832,54.36315688497401,1862.06605693646
11E,11,E,691463,4167088,691463_4167088,7,TRUE,101.0627212524414,0.374531907144538,50702.7197167762,50.1944716361365,0,402.795783555268,NA,0,NA,0.6821088617364438,10.2039333614026,50.9586127208454,19.1667670858248,30041.677491135,44.55434400893029,NA,44.55434400893029,NA,873.397827107562,0.7044261844533909,NA,20.7191260074475,NA,492.6785831995901,NA,7.701916145178489,3.5023230624844603,5.605215259627738,144.058978053852,NA,2743.97736167562,NA,1.7153722784408698,69.91666541530402,305.1193965472739
